title,description,category,priority
Renouvellement de licence logicielle,"La licence de notre outil de conception arrive à expiration le mois prochain, merci de la renouveler. C'est totalement bloquant, toute mon équipe est à l'arrêt, besoin d'une intervention immédiate.",ACHAT,CRITICAL
Achat de fournitures de bureau,"Le service manque de fournitures de bureau courantes, merci de passer commande. Situation critique : la production est interrompue, merci d'intervenir en urgence absolue.",ACHAT,CRITICAL
Écran fissuré,"L'écran de mon ordinateur portable est fissuré suite à une chute, l'affichage reste partiellement lisible. Situation critique : la production est interrompue, merci d'intervenir en urgence absolue.",MATERIEL,CRITICAL
Connexion internet très lente,"La connexion internet est anormalement lente ce matin sur tout l'étage. Merci de traiter cette demande quand vous aurez un moment, pas d'urgence particulière.",RESEAU,MEDIUM
Logiciel de messagerie qui ne synchronise plus,"Le client de messagerie ne synchronise plus les nouveaux e-mails depuis ce matin. Merci de traiter rapidement, cela ralentit fortement mon activité.",LOGICIEL,HIGH
Bug d'affichage dans le logiciel RH,"Le logiciel RH affiche des données erronées sur l'onglet congés depuis la dernière mise à jour. C'est totalement bloquant, toute mon équipe est à l'arrêt, besoin d'une intervention immédiate.",LOGICIEL,CRITICAL
Demande d'information diverse,"Pourriez-vous me confirmer les horaires d'ouverture du support technique ? Merci de traiter rapidement, cela ralentit fortement mon activité.",AUTRE,HIGH
Demande d'accès à un dossier partagé,"Je souhaite obtenir l'accès en lecture au dossier partagé du service comptabilité. Blocage total, aucune activité possible tant que ce n'est pas résolu, urgence maximale.",ACCES_COMPTE,CRITICAL
Application métier qui plante,"L'application métier se ferme brutalement dès que j'ouvre un dossier client. Ce n'est pas prioritaire de mon côté, prenez votre temps.",LOGICIEL,LOW
Suggestion d'amélioration,"Je propose d'ajouter une FAQ pour les questions les plus fréquentes du service. Impact modéré sur mon activité, une prise en charge sous quelques jours conviendrait.",AUTRE,MEDIUM
VPN qui se déconnecte,"Ma connexion VPN se coupe toutes les dix minutes en télétravail. C'est assez urgent, cela m'empêche de travailler normalement aujourd'hui.",RESEAU,HIGH
Bug d'affichage dans le logiciel RH,"Le logiciel RH affiche des données erronées sur l'onglet congés depuis la dernière mise à jour. Situation critique : la production est interrompue, merci d'intervenir en urgence absolue.",LOGICIEL,CRITICAL
Question générale sur une procédure,Je souhaite connaître la procédure à suivre pour signaler un incident de sécurité. Ce n'est pas bloquant mais j'aimerais une résolution dans les prochains jours.,AUTRE,MEDIUM
Écran fissuré,"L'écran de mon ordinateur portable est fissuré suite à une chute, l'affichage reste partiellement lisible. Merci de traiter cette demande quand vous aurez un moment, pas d'urgence particulière.",MATERIEL,MEDIUM
Logiciel de messagerie qui ne synchronise plus,Le client de messagerie ne synchronise plus les nouveaux e-mails depuis ce matin. Simple remarque sans caractère urgent.,LOGICIEL,LOW
Débit réseau très faible en visio,"Les visioconférences sont très saccadées à cause d'un débit réseau insuffisant. Merci de traiter cette demande quand vous aurez un moment, pas d'urgence particulière.",RESEAU,MEDIUM
Écran fissuré,"L'écran de mon ordinateur portable est fissuré suite à une chute, l'affichage reste partiellement lisible. Besoin d'une résolution rapide, l'impact sur mon travail est important.",MATERIEL,HIGH
Mise à jour bloquée,"La mise à jour de l'outil bureautique reste bloquée à 40% depuis hier. Merci de traiter rapidement, cela ralentit fortement mon activité.",LOGICIEL,HIGH
Ordinateur portable très lent,"Mon ordinateur portable met plus de dix minutes à démarrer et rame sur toutes les applications. Impact modéré sur mon activité, une prise en charge sous quelques jours conviendrait.",MATERIEL,MEDIUM
Commande de mobilier ergonomique,"Plusieurs collaborateurs demandent un siège ergonomique suite à une recommandation médicale. Besoin d'une résolution rapide, l'impact sur mon travail est important.",ACHAT,HIGH
Mise à jour bloquée,"La mise à jour de l'outil bureautique reste bloquée à 40% depuis hier. C'est totalement bloquant, toute mon équipe est à l'arrêt, besoin d'une intervention immédiate.",LOGICIEL,CRITICAL
Imprimante bloquée,"L'imprimante du service affiche un bourrage papier permanent malgré plusieurs tentatives de nettoyage. Ce n'est pas prioritaire de mon côté, prenez votre temps.",MATERIEL,LOW
Erreur au lancement d'une application,"L'application de gestion de projet affiche une erreur au démarrage et se ferme aussitôt. Situation critique : la production est interrompue, merci d'intervenir en urgence absolue.",LOGICIEL,CRITICAL
Écran qui ne s'allume plus,"Mon écran externe ne s'allume plus depuis ce matin, l'ordinateur fonctionne normalement par ailleurs. Simple remarque sans caractère urgent.",MATERIEL,LOW
Accès VPN refusé,"La connexion VPN refuse mes identifiants alors qu'ils fonctionnaient la semaine dernière. Blocage total, aucune activité possible tant que ce n'est pas résolu, urgence maximale.",ACCES_COMPTE,CRITICAL
Demande d'accès à un dossier partagé,"Je souhaite obtenir l'accès en lecture au dossier partagé du service comptabilité. C'est totalement bloquant, toute mon équipe est à l'arrêt, besoin d'une intervention immédiate.",ACCES_COMPTE,CRITICAL
Erreur au lancement d'une application,"L'application de gestion de projet affiche une erreur au démarrage et se ferme aussitôt. Merci de traiter rapidement, cela ralentit fortement mon activité.",LOGICIEL,HIGH
Écran qui ne s'allume plus,"Mon écran externe ne s'allume plus depuis ce matin, l'ordinateur fonctionne normalement par ailleurs. Merci de traiter cette demande quand vous aurez un moment, pas d'urgence particulière.",MATERIEL,MEDIUM
Écran qui ne s'allume plus,"Mon écran externe ne s'allume plus depuis ce matin, l'ordinateur fonctionne normalement par ailleurs. Merci de traiter rapidement, cela ralentit fortement mon activité.",MATERIEL,HIGH
Débit réseau très faible en visio,"Les visioconférences sont très saccadées à cause d'un débit réseau insuffisant. C'est assez urgent, cela m'empêche de travailler normalement aujourd'hui.",RESEAU,HIGH
Logiciel de messagerie qui ne synchronise plus,"Le client de messagerie ne synchronise plus les nouveaux e-mails depuis ce matin. Aucune urgence, vous pouvez traiter cela quand vous le pourrez.",LOGICIEL,LOW
Logiciel de messagerie qui ne synchronise plus,"Le client de messagerie ne synchronise plus les nouveaux e-mails depuis ce matin. C'est assez urgent, cela m'empêche de travailler normalement aujourd'hui.",LOGICIEL,HIGH
Imprimante bloquée,"L'imprimante du service affiche un bourrage papier permanent malgré plusieurs tentatives de nettoyage. C'est totalement bloquant, toute mon équipe est à l'arrêt, besoin d'une intervention immédiate.",MATERIEL,CRITICAL
Besoin d'une licence logicielle supplémentaire,"Je souhaite obtenir une licence supplémentaire pour l'outil de conception graphique. Blocage total, aucune activité possible tant que ce n'est pas résolu, urgence maximale.",LOGICIEL,CRITICAL
Commande de matériel informatique,"Je souhaite commander deux ordinateurs portables pour les nouveaux arrivants du service. Situation critique : la production est interrompue, merci d'intervenir en urgence absolue.",ACHAT,CRITICAL
VPN qui se déconnecte,"Ma connexion VPN se coupe toutes les dix minutes en télétravail. Merci de traiter cette demande quand vous aurez un moment, pas d'urgence particulière.",RESEAU,MEDIUM
Demande de devis fournisseur,"Merci de solliciter un devis auprès de notre fournisseur habituel pour du mobilier de bureau. Blocage total, aucune activité possible tant que ce n'est pas résolu, urgence maximale.",ACHAT,CRITICAL
Demande d'accès à un dossier partagé,"Je souhaite obtenir l'accès en lecture au dossier partagé du service comptabilité. C'est assez urgent, cela m'empêche de travailler normalement aujourd'hui.",ACCES_COMPTE,HIGH
Demande d'accès à un dossier partagé,"Je souhaite obtenir l'accès en lecture au dossier partagé du service comptabilité. Impact modéré sur mon activité, une prise en charge sous quelques jours conviendrait.",ACCES_COMPTE,MEDIUM
Suggestion d'amélioration,"Je propose d'ajouter une FAQ pour les questions les plus fréquentes du service. C'est totalement bloquant, toute mon équipe est à l'arrêt, besoin d'une intervention immédiate.",AUTRE,CRITICAL
Compte bloqué après plusieurs essais,"Mon compte a été bloqué après plusieurs tentatives de connexion infructueuses. Merci de traiter cette demande quand vous aurez un moment, pas d'urgence particulière.",ACCES_COMPTE,MEDIUM
Erreur au lancement d'une application,"L'application de gestion de projet affiche une erreur au démarrage et se ferme aussitôt. Ce n'est pas prioritaire de mon côté, prenez votre temps.",LOGICIEL,LOW
Commande de matériel informatique,"Je souhaite commander deux ordinateurs portables pour les nouveaux arrivants du service. C'est assez urgent, cela m'empêche de travailler normalement aujourd'hui.",ACHAT,HIGH
Nouveau compte utilisateur,"Merci de créer un compte pour le nouvel arrivant qui commence lundi prochain. Ce n'est pas prioritaire de mon côté, prenez votre temps.",ACCES_COMPTE,LOW
Compte bloqué après plusieurs essais,"Mon compte a été bloqué après plusieurs tentatives de connexion infructueuses. Aucune urgence, vous pouvez traiter cela quand vous le pourrez.",ACCES_COMPTE,LOW
Débit réseau très faible en visio,"Les visioconférences sont très saccadées à cause d'un débit réseau insuffisant. Situation critique : la production est interrompue, merci d'intervenir en urgence absolue.",RESEAU,CRITICAL
Écran qui ne s'allume plus,"Mon écran externe ne s'allume plus depuis ce matin, l'ordinateur fonctionne normalement par ailleurs. Blocage total, aucune activité possible tant que ce n'est pas résolu, urgence maximale.",MATERIEL,CRITICAL
Écran qui ne s'allume plus,"Mon écran externe ne s'allume plus depuis ce matin, l'ordinateur fonctionne normalement par ailleurs. C'est assez urgent, cela m'empêche de travailler normalement aujourd'hui.",MATERIEL,HIGH
Retour d'expérience,"Je souhaite faire un retour sur mon expérience récente avec le support informatique. Ce n'est pas prioritaire de mon côté, prenez votre temps.",AUTRE,LOW
Aucun accès réseau depuis ce matin,Mon poste n'a plus aucun accès au réseau interne depuis ce matin. Ce n'est pas bloquant mais j'aimerais une résolution dans les prochains jours.,RESEAU,MEDIUM
Besoin d'une licence logicielle supplémentaire,"Je souhaite obtenir une licence supplémentaire pour l'outil de conception graphique. Aucune urgence, vous pouvez traiter cela quand vous le pourrez.",LOGICIEL,LOW
Renouvellement de licence logicielle,"La licence de notre outil de conception arrive à expiration le mois prochain, merci de la renouveler. Blocage total, aucune activité possible tant que ce n'est pas résolu, urgence maximale.",ACHAT,CRITICAL
Casque audio hors service,"Mon casque ne produit plus aucun son lors des appels visio. Merci de traiter cette demande quand vous aurez un moment, pas d'urgence particulière.",MATERIEL,MEDIUM
Demande de devis fournisseur,"Merci de solliciter un devis auprès de notre fournisseur habituel pour du mobilier de bureau. Ce n'est pas prioritaire de mon côté, prenez votre temps.",ACHAT,LOW
Souris qui ne répond plus,"La souris filaire de mon poste ne bouge plus le curseur, j'ai déjà changé de port USB. Simple remarque sans caractère urgent.",MATERIEL,LOW
Casque audio hors service,"Mon casque ne produit plus aucun son lors des appels visio. Impact modéré sur mon activité, une prise en charge sous quelques jours conviendrait.",MATERIEL,MEDIUM
Impossible d'installer le logiciel comptable,"Le programme d'installation du logiciel comptable s'arrête avec une erreur inconnue. Merci de traiter cette demande quand vous aurez un moment, pas d'urgence particulière.",LOGICIEL,MEDIUM
Souris qui ne répond plus,"La souris filaire de mon poste ne bouge plus le curseur, j'ai déjà changé de port USB. Situation critique : la production est interrompue, merci d'intervenir en urgence absolue.",MATERIEL,CRITICAL
Accès VPN refusé,"La connexion VPN refuse mes identifiants alors qu'ils fonctionnaient la semaine dernière. Impact modéré sur mon activité, une prise en charge sous quelques jours conviendrait.",ACCES_COMPTE,MEDIUM
Écran fissuré,"L'écran de mon ordinateur portable est fissuré suite à une chute, l'affichage reste partiellement lisible. Impact modéré sur mon activité, une prise en charge sous quelques jours conviendrait.",MATERIEL,MEDIUM
Compte bloqué après plusieurs essais,"Mon compte a été bloqué après plusieurs tentatives de connexion infructueuses. Merci de traiter rapidement, cela ralentit fortement mon activité.",ACCES_COMPTE,HIGH
Bug d'affichage dans le logiciel RH,"Le logiciel RH affiche des données erronées sur l'onglet congés depuis la dernière mise à jour. Aucune urgence, vous pouvez traiter cela quand vous le pourrez.",LOGICIEL,LOW
Impossible d'installer le logiciel comptable,"Le programme d'installation du logiciel comptable s'arrête avec une erreur inconnue. Situation critique : la production est interrompue, merci d'intervenir en urgence absolue.",LOGICIEL,CRITICAL
Besoin d'une licence logicielle supplémentaire,"Je souhaite obtenir une licence supplémentaire pour l'outil de conception graphique. Merci de traiter rapidement, cela ralentit fortement mon activité.",LOGICIEL,HIGH
Demande d'accès à un dossier partagé,Je souhaite obtenir l'accès en lecture au dossier partagé du service comptabilité. Ce n'est pas bloquant mais j'aimerais une résolution dans les prochains jours.,ACCES_COMPTE,MEDIUM
Droits insuffisants sur une application,"Je n'ai plus les droits nécessaires pour valider les commandes dans l'application achats. C'est totalement bloquant, toute mon équipe est à l'arrêt, besoin d'une intervention immédiate.",ACCES_COMPTE,CRITICAL
Écran fissuré,"L'écran de mon ordinateur portable est fissuré suite à une chute, l'affichage reste partiellement lisible. Blocage total, aucune activité possible tant que ce n'est pas résolu, urgence maximale.",MATERIEL,CRITICAL
Demande de devis fournisseur,"Merci de solliciter un devis auprès de notre fournisseur habituel pour du mobilier de bureau. Besoin d'une résolution rapide, l'impact sur mon travail est important.",ACHAT,HIGH
Erreur au lancement d'une application,"L'application de gestion de projet affiche une erreur au démarrage et se ferme aussitôt. Impact modéré sur mon activité, une prise en charge sous quelques jours conviendrait.",LOGICIEL,MEDIUM
Débit réseau très faible en visio,"Les visioconférences sont très saccadées à cause d'un débit réseau insuffisant. C'est totalement bloquant, toute mon équipe est à l'arrêt, besoin d'une intervention immédiate.",RESEAU,CRITICAL
Nouveau compte utilisateur,"Merci de créer un compte pour le nouvel arrivant qui commence lundi prochain. Situation critique : la production est interrompue, merci d'intervenir en urgence absolue.",ACCES_COMPTE,CRITICAL
Renouvellement de licence logicielle,"La licence de notre outil de conception arrive à expiration le mois prochain, merci de la renouveler. Besoin d'une résolution rapide, l'impact sur mon travail est important.",ACHAT,HIGH
VPN qui se déconnecte,Ma connexion VPN se coupe toutes les dix minutes en télétravail. Ce n'est pas bloquant mais j'aimerais une résolution dans les prochains jours.,RESEAU,MEDIUM
Droits insuffisants sur une application,"Je n'ai plus les droits nécessaires pour valider les commandes dans l'application achats. Situation critique : la production est interrompue, merci d'intervenir en urgence absolue.",ACCES_COMPTE,CRITICAL
Demande d'accès à un dossier partagé,"Je souhaite obtenir l'accès en lecture au dossier partagé du service comptabilité. Besoin d'une résolution rapide, l'impact sur mon travail est important.",ACCES_COMPTE,HIGH
Batterie d'ordinateur portable défaillante,"La batterie de mon portable ne tient plus que quelques minutes hors secteur. C'est totalement bloquant, toute mon équipe est à l'arrêt, besoin d'une intervention immédiate.",MATERIEL,CRITICAL
Demande de formation,"Je souhaite m'inscrire à une formation sur les outils bureautiques. Ce n'est pas prioritaire de mon côté, prenez votre temps.",AUTRE,LOW
Besoin d'une licence logicielle supplémentaire,"Je souhaite obtenir une licence supplémentaire pour l'outil de conception graphique. Ce n'est pas prioritaire de mon côté, prenez votre temps.",LOGICIEL,LOW
Achat de fournitures de bureau,"Le service manque de fournitures de bureau courantes, merci de passer commande. Simple remarque sans caractère urgent.",ACHAT,LOW
Badge d'accès désactivé,"Mon badge d'accès aux locaux ne fonctionne plus depuis mon changement de service. Blocage total, aucune activité possible tant que ce n'est pas résolu, urgence maximale.",ACCES_COMPTE,CRITICAL
Souris qui ne répond plus,"La souris filaire de mon poste ne bouge plus le curseur, j'ai déjà changé de port USB. Merci de traiter rapidement, cela ralentit fortement mon activité.",MATERIEL,HIGH
Partage réseau inaccessible,Le lecteur réseau partagé de l'équipe est inaccessible depuis hier soir. Simple remarque sans caractère urgent.,RESEAU,LOW
Demande de formation,"Je souhaite m'inscrire à une formation sur les outils bureautiques. Situation critique : la production est interrompue, merci d'intervenir en urgence absolue.",AUTRE,CRITICAL
Logiciel de messagerie qui ne synchronise plus,"Le client de messagerie ne synchronise plus les nouveaux e-mails depuis ce matin. Merci de traiter cette demande quand vous aurez un moment, pas d'urgence particulière.",LOGICIEL,MEDIUM
Nouveau compte utilisateur,"Merci de créer un compte pour le nouvel arrivant qui commence lundi prochain. Impact modéré sur mon activité, une prise en charge sous quelques jours conviendrait.",ACCES_COMPTE,MEDIUM
Validation d'un budget d'achat,"Je soumets une demande de validation budgétaire pour l'achat de nouveaux serveurs. Situation critique : la production est interrompue, merci d'intervenir en urgence absolue.",ACHAT,CRITICAL
Compte bloqué après plusieurs essais,"Mon compte a été bloqué après plusieurs tentatives de connexion infructueuses. C'est assez urgent, cela m'empêche de travailler normalement aujourd'hui.",ACCES_COMPTE,HIGH
Batterie d'ordinateur portable défaillante,"La batterie de mon portable ne tient plus que quelques minutes hors secteur. Besoin d'une résolution rapide, l'impact sur mon travail est important.",MATERIEL,HIGH
Logiciel de messagerie qui ne synchronise plus,"Le client de messagerie ne synchronise plus les nouveaux e-mails depuis ce matin. Besoin d'une résolution rapide, l'impact sur mon travail est important.",LOGICIEL,HIGH
Bug d'affichage dans le logiciel RH,"Le logiciel RH affiche des données erronées sur l'onglet congés depuis la dernière mise à jour. Impact modéré sur mon activité, une prise en charge sous quelques jours conviendrait.",LOGICIEL,MEDIUM
Casque audio hors service,"Mon casque ne produit plus aucun son lors des appels visio. Aucune urgence, vous pouvez traiter cela quand vous le pourrez.",MATERIEL,LOW
Demande d'information diverse,Pourriez-vous me confirmer les horaires d'ouverture du support technique ? Ce n'est pas bloquant mais j'aimerais une résolution dans les prochains jours.,AUTRE,MEDIUM
Mise à jour bloquée,"La mise à jour de l'outil bureautique reste bloquée à 40% depuis hier. Aucune urgence, vous pouvez traiter cela quand vous le pourrez.",LOGICIEL,LOW
Badge d'accès désactivé,"Mon badge d'accès aux locaux ne fonctionne plus depuis mon changement de service. Merci de traiter rapidement, cela ralentit fortement mon activité.",ACCES_COMPTE,HIGH
Question générale sur une procédure,Je souhaite connaître la procédure à suivre pour signaler un incident de sécurité. Simple remarque sans caractère urgent.,AUTRE,LOW
Impossible d'installer le logiciel comptable,"Le programme d'installation du logiciel comptable s'arrête avec une erreur inconnue. Aucune urgence, vous pouvez traiter cela quand vous le pourrez.",LOGICIEL,LOW
Mot de passe oublié,"J'ai oublié le mot de passe de ma session et je ne peux plus me connecter. Besoin d'une résolution rapide, l'impact sur mon travail est important.",ACCES_COMPTE,HIGH
Bug d'affichage dans le logiciel RH,"Le logiciel RH affiche des données erronées sur l'onglet congés depuis la dernière mise à jour. Ce n'est pas prioritaire de mon côté, prenez votre temps.",LOGICIEL,LOW
Badge d'accès désactivé,Mon badge d'accès aux locaux ne fonctionne plus depuis mon changement de service. Simple remarque sans caractère urgent.,ACCES_COMPTE,LOW
Imprimante bloquée,L'imprimante du service affiche un bourrage papier permanent malgré plusieurs tentatives de nettoyage. Simple remarque sans caractère urgent.,MATERIEL,LOW
VPN qui se déconnecte,"Ma connexion VPN se coupe toutes les dix minutes en télétravail. Ce n'est pas prioritaire de mon côté, prenez votre temps.",RESEAU,LOW
Écran fissuré,"L'écran de mon ordinateur portable est fissuré suite à une chute, l'affichage reste partiellement lisible. Ce n'est pas prioritaire de mon côté, prenez votre temps.",MATERIEL,LOW
Commande de matériel informatique,"Je souhaite commander deux ordinateurs portables pour les nouveaux arrivants du service. Besoin d'une résolution rapide, l'impact sur mon travail est important.",ACHAT,HIGH
Ordinateur portable très lent,Mon ordinateur portable met plus de dix minutes à démarrer et rame sur toutes les applications. Simple remarque sans caractère urgent.,MATERIEL,LOW
Droits insuffisants sur une application,"Je n'ai plus les droits nécessaires pour valider les commandes dans l'application achats. Aucune urgence, vous pouvez traiter cela quand vous le pourrez.",ACCES_COMPTE,LOW
Demande de formation,Je souhaite m'inscrire à une formation sur les outils bureautiques. Simple remarque sans caractère urgent.,AUTRE,LOW
Question générale sur une procédure,"Je souhaite connaître la procédure à suivre pour signaler un incident de sécurité. Ce n'est pas prioritaire de mon côté, prenez votre temps.",AUTRE,LOW
Question générale sur une procédure,"Je souhaite connaître la procédure à suivre pour signaler un incident de sécurité. Blocage total, aucune activité possible tant que ce n'est pas résolu, urgence maximale.",AUTRE,CRITICAL
Batterie d'ordinateur portable défaillante,"La batterie de mon portable ne tient plus que quelques minutes hors secteur. C'est assez urgent, cela m'empêche de travailler normalement aujourd'hui.",MATERIEL,HIGH
Bug d'affichage dans le logiciel RH,"Le logiciel RH affiche des données erronées sur l'onglet congés depuis la dernière mise à jour. Merci de traiter rapidement, cela ralentit fortement mon activité.",LOGICIEL,HIGH
Achat de fournitures de bureau,"Le service manque de fournitures de bureau courantes, merci de passer commande. Besoin d'une résolution rapide, l'impact sur mon travail est important.",ACHAT,HIGH
Badge d'accès désactivé,"Mon badge d'accès aux locaux ne fonctionne plus depuis mon changement de service. Merci de traiter cette demande quand vous aurez un moment, pas d'urgence particulière.",ACCES_COMPTE,MEDIUM
Écran qui ne s'allume plus,"Mon écran externe ne s'allume plus depuis ce matin, l'ordinateur fonctionne normalement par ailleurs. Situation critique : la production est interrompue, merci d'intervenir en urgence absolue.",MATERIEL,CRITICAL
Mot de passe oublié,"J'ai oublié le mot de passe de ma session et je ne peux plus me connecter. Merci de traiter rapidement, cela ralentit fortement mon activité.",ACCES_COMPTE,HIGH
Souris qui ne répond plus,"La souris filaire de mon poste ne bouge plus le curseur, j'ai déjà changé de port USB. C'est assez urgent, cela m'empêche de travailler normalement aujourd'hui.",MATERIEL,HIGH
Compte bloqué après plusieurs essais,"Mon compte a été bloqué après plusieurs tentatives de connexion infructueuses. C'est totalement bloquant, toute mon équipe est à l'arrêt, besoin d'une intervention immédiate.",ACCES_COMPTE,CRITICAL
Erreur au lancement d'une application,"L'application de gestion de projet affiche une erreur au démarrage et se ferme aussitôt. C'est totalement bloquant, toute mon équipe est à l'arrêt, besoin d'une intervention immédiate.",LOGICIEL,CRITICAL
Mot de passe oublié,"J'ai oublié le mot de passe de ma session et je ne peux plus me connecter. Merci de traiter cette demande quand vous aurez un moment, pas d'urgence particulière.",ACCES_COMPTE,MEDIUM
Badge d'accès désactivé,"Mon badge d'accès aux locaux ne fonctionne plus depuis mon changement de service. Ce n'est pas prioritaire de mon côté, prenez votre temps.",ACCES_COMPTE,LOW
Question générale sur une procédure,"Je souhaite connaître la procédure à suivre pour signaler un incident de sécurité. Situation critique : la production est interrompue, merci d'intervenir en urgence absolue.",AUTRE,CRITICAL
Clavier défectueux,"Plusieurs touches de mon clavier ne répondent plus, notamment la barre d'espace. Besoin d'une résolution rapide, l'impact sur mon travail est important.",MATERIEL,HIGH
Mise à jour bloquée,"La mise à jour de l'outil bureautique reste bloquée à 40% depuis hier. Situation critique : la production est interrompue, merci d'intervenir en urgence absolue.",LOGICIEL,CRITICAL
Badge d'accès désactivé,"Mon badge d'accès aux locaux ne fonctionne plus depuis mon changement de service. C'est totalement bloquant, toute mon équipe est à l'arrêt, besoin d'une intervention immédiate.",ACCES_COMPTE,CRITICAL
VPN qui se déconnecte,"Ma connexion VPN se coupe toutes les dix minutes en télétravail. Aucune urgence, vous pouvez traiter cela quand vous le pourrez.",RESEAU,LOW
Wifi instable au bureau,La connexion wifi se coupe régulièrement dans notre open space depuis deux jours. Ce n'est pas bloquant mais j'aimerais une résolution dans les prochains jours.,RESEAU,MEDIUM
Partage réseau inaccessible,"Le lecteur réseau partagé de l'équipe est inaccessible depuis hier soir. Aucune urgence, vous pouvez traiter cela quand vous le pourrez.",RESEAU,LOW
Suggestion d'amélioration,"Je propose d'ajouter une FAQ pour les questions les plus fréquentes du service. C'est assez urgent, cela m'empêche de travailler normalement aujourd'hui.",AUTRE,HIGH
Mot de passe oublié,J'ai oublié le mot de passe de ma session et je ne peux plus me connecter. Simple remarque sans caractère urgent.,ACCES_COMPTE,LOW
Bug d'affichage dans le logiciel RH,"Le logiciel RH affiche des données erronées sur l'onglet congés depuis la dernière mise à jour. Blocage total, aucune activité possible tant que ce n'est pas résolu, urgence maximale.",LOGICIEL,CRITICAL
Demande de formation,"Je souhaite m'inscrire à une formation sur les outils bureautiques. C'est totalement bloquant, toute mon équipe est à l'arrêt, besoin d'une intervention immédiate.",AUTRE,CRITICAL
Erreur au lancement d'une application,L'application de gestion de projet affiche une erreur au démarrage et se ferme aussitôt. Simple remarque sans caractère urgent.,LOGICIEL,LOW
Mot de passe oublié,"J'ai oublié le mot de passe de ma session et je ne peux plus me connecter. Aucune urgence, vous pouvez traiter cela quand vous le pourrez.",ACCES_COMPTE,LOW
